"to","year","searchpoints","votepoints"
"Albania",2004,32,106
"Albania",2005,55,53
"Albania",2008,32,55
"Albania",2009,27,48
"Albania",2010,35,62
"Albania",2012,64,146
"Albania",2015,148,34
"Albania",2018,39,58
"Armenia",2006,0,129
"Armenia",2007,6,138
"Armenia",2008,219,199
"Armenia",2009,47,92
"Armenia",2010,261,141
"Armenia",2013,4,41
"Armenia",2014,127,174
"Armenia",2015,0,34
"Armenia",2016,264,134
"Armenia",2017,18,21
"Australia",2015,185,196
"Australia",2016,194,191
"Australia",2017,100,2
"Australia",2018,37,9
"Austria",2004,0,9
"Austria",2011,23,64
"Austria",2014,432,290
"Austria",2015,0,0
"Austria",2016,42,120
"Austria",2017,16,0
"Austria",2018,23,71
"Azerbaijan",2008,11,132
"Azerbaijan",2009,300,207
"Azerbaijan",2010,307,145
"Azerbaijan",2011,48,221
"Azerbaijan",2012,23,150
"Azerbaijan",2013,68,234
"Azerbaijan",2014,40,33
"Azerbaijan",2015,91,49
"Azerbaijan",2016,0,73
"Azerbaijan",2017,32,42
"Belarus",2007,144,145
"Belarus",2010,0,18
"Belarus",2013,74,48
"Belarus",2014,21,43
"Belarus",2017,3,33
"Belgium",2004,124,7
"Belgium",2010,194,143
"Belgium",2013,18,71
"Belgium",2015,270,217
"Belgium",2016,0,51
"Belgium",2017,121,255
"Bosnia and Herzegovina",2004,29,91
"Bosnia and Herzegovina",2005,50,79
"Bosnia and Herzegovina",2006,93,229
"Bosnia and Herzegovina",2007,6,106
"Bosnia and Herzegovina",2008,19,110
"Bosnia and Herzegovina",2009,18,106
"Bosnia and Herzegovina",2010,34,51
"Bosnia and Herzegovina",2011,114,125
"Bosnia and Herzegovina",2012,31,55
"Bulgaria",2007,2,157
"Bulgaria",2016,144,180
"Bulgaria",2017,330,337
"Bulgaria",2018,26,66
"Croatia",2004,7,50
"Croatia",2005,0,115
"Croatia",2006,244,56
"Croatia",2008,8,44
"Croatia",2009,27,45
"Croatia",2016,0,33
"Croatia",2017,65,103
"Cyprus",2004,15,170
"Cyprus",2005,0,46
"Cyprus",2010,25,27
"Cyprus",2012,120,65
"Cyprus",2015,0,11
"Cyprus",2016,0,53
"Cyprus",2017,36,32
"Cyprus",2018,358,253
"Czech Republic",2016,53,0
"Czech Republic",2018,269,215
"Denmark",2005,47,125
"Denmark",2006,11,26
"Denmark",2008,32,60
"Denmark",2009,7,74
"Denmark",2010,21,149
"Denmark",2011,91,134
"Denmark",2012,23,21
"Denmark",2013,247,281
"Denmark",2014,11,74
"Denmark",2017,40,8
"Denmark",2018,62,188
"Estonia",2009,43,129
"Estonia",2011,33,44
"Estonia",2012,16,120
"Estonia",2013,2,19
"Estonia",2015,0,106
"Estonia",2018,42,102
"Finland",2006,334,292
"Finland",2007,54,53
"Finland",2008,123,35
"Finland",2009,1,22
"Finland",2011,47,57
"Finland",2013,88,13
"Finland",2014,42,72
"Finland",2018,129,23
"France",2004,38,40
"France",2005,11,11
"France",2006,0,5
"France",2007,55,19
"France",2008,86,47
"France",2009,159,107
"France",2010,41,82
"France",2011,87,82
"France",2012,43,21
"France",2013,6,14
"France",2014,78,2
"France",2015,0,4
"France",2016,22,109
"France",2017,79,90
"France",2018,47,59
"Georgia",2007,50,97
"Georgia",2008,80,83
"Georgia",2010,62,136
"Georgia",2011,37,110
"Georgia",2013,0,50
"Georgia",2015,136,51
"Georgia",2016,0,24
"Germany",2004,22,93
"Germany",2005,4,4
"Germany",2006,26,36
"Germany",2007,57,49
"Germany",2008,59,14
"Germany",2009,12,35
"Germany",2010,350,246
"Germany",2011,323,107
"Germany",2012,81,110
"Germany",2013,286,18
"Germany",2014,59,39
"Germany",2015,0,0
"Germany",2016,0,10
"Germany",2017,8,3
"Germany",2018,13,136
"Greece",2004,190,252
"Greece",2005,160,230
"Greece",2006,146,128
"Greece",2007,111,139
"Greece",2008,268,218
"Greece",2009,274,120
"Greece",2010,72,140
"Greece",2011,100,120
"Greece",2012,141,64
"Greece",2013,15,152
"Greece",2014,24,35
"Greece",2015,12,23
"Greece",2017,41,29
"Hungary",2005,0,97
"Hungary",2007,91,128
"Hungary",2011,99,53
"Hungary",2012,17,19
"Hungary",2013,68,84
"Hungary",2014,103,143
"Hungary",2015,40,19
"Hungary",2016,0,56
"Hungary",2017,59,152
"Hungary",2018,8,65
"Iceland",2004,0,16
"Iceland",2008,6,64
"Iceland",2009,89,218
"Iceland",2010,25,41
"Iceland",2011,0,61
"Iceland",2012,2,46
"Iceland",2013,9,47
"Iceland",2014,30,58
"Ireland",2004,8,7
"Ireland",2006,22,93
"Ireland",2007,0,5
"Ireland",2010,15,25
"Ireland",2011,286,119
"Ireland",2012,278,46
"Ireland",2013,50,5
"Ireland",2018,59,62
"Israel",2005,103,154
"Israel",2006,3,4
"Israel",2008,66,124
"Israel",2009,30,53
"Israel",2010,84,71
"Israel",2015,0,97
"Israel",2016,0,11
"Israel",2017,117,5
"Israel",2018,358,317
"Italy",2011,8,189
"Italy",2012,34,101
"Italy",2013,61,126
"Italy",2014,81,33
"Italy",2015,290,292
"Italy",2016,95,34
"Italy",2017,305,208
"Italy",2018,58,249
"Latvia",2005,73,153
"Latvia",2006,0,30
"Latvia",2007,27,54
"Latvia",2008,14,83
"Latvia",2015,0,186
"Latvia",2016,0,63
"Lithuania",2006,43,162
"Lithuania",2007,0,28
"Lithuania",2009,55,23
"Lithuania",2011,46,63
"Lithuania",2012,14,70
"Lithuania",2013,15,17
"Lithuania",2015,43,30
"Lithuania",2016,197,96
"Lithuania",2018,20,91
"Malta",2004,8,50
"Malta",2005,0,192
"Malta",2006,15,1
"Malta",2009,0,31
"Malta",2012,10,41
"Malta",2013,0,120
"Malta",2014,0,32
"Malta",2016,184,16
"Moldova",2005,85,148
"Moldova",2006,21,22
"Moldova",2007,186,109
"Moldova",2009,10,69
"Moldova",2010,61,27
"Moldova",2011,44,97
"Moldova",2012,24,81
"Moldova",2013,17,71
"Moldova",2017,84,264
"Moldova",2018,13,115
"Montenegro",2014,10,37
"Montenegro",2015,8,44
"Netherlands",2004,4,11
"Netherlands",2013,234,114
"Netherlands",2014,149,238
"Netherlands",2016,252,39
"Netherlands",2017,26,15
"Netherlands",2018,58,32
"North Macedonia",2004,62,47
"North Macedonia",2005,16,52
"North Macedonia",2006,61,56
"North Macedonia",2007,60,73
"North Macedonia",2012,46,71
"Norway",2004,0,3
"Norway",2005,138,125
"Norway",2006,3,36
"Norway",2008,37,182
"Norway",2009,429,387
"Norway",2010,14,35
"Norway",2012,146,7
"Norway",2013,133,191
"Norway",2014,51,88
"Norway",2015,0,102
"Norway",2017,1,29
"Norway",2018,403,84
"Poland",2004,16,27
"Poland",2008,81,14
"Poland",2014,0,62
"Poland",2015,0,10
"Poland",2016,253,222
"Poland",2017,199,41
"Portugal",2008,3,69
"Portugal",2009,4,57
"Portugal",2010,22,43
"Portugal",2017,430,376
"Portugal",2018,4,18
"Romania",2004,0,18
"Romania",2005,48,158
"Romania",2006,36,172
"Romania",2007,16,84
"Romania",2008,7,45
"Romania",2009,39,40
"Romania",2010,92,162
"Romania",2011,27,77
"Romania",2012,160,71
"Romania",2013,40,65
"Romania",2014,59,72
"Romania",2015,123,35
"Romania",2017,83,224
"Russia",2004,34,67
"Russia",2005,4,57
"Russia",2006,214,248
"Russia",2007,162,207
"Russia",2008,377,272
"Russia",2009,94,91
"Russia",2010,13,90
"Russia",2011,228,77
"Russia",2012,205,259
"Russia",2013,137,174
"Russia",2014,192,89
"Russia",2015,401,303
"Russia",2016,428,361
"San Marino",2014,15,14
"Serbia",2007,226,268
"Serbia",2008,49,160
"Serbia",2010,245,72
"Serbia",2011,13,85
"Serbia",2012,114,214
"Serbia",2015,0,53
"Serbia",2016,0,80
"Serbia",2018,29,75
"Serbia and Montenegro",2004,110,263
"Serbia and Montenegro",2005,26,137
"Slovenia",2007,33,66
"Slovenia",2011,47,96
"Slovenia",2014,3,9
"Slovenia",2015,0,39
"Slovenia",2018,21,23
"Spain",2004,0,87
"Spain",2005,40,28
"Spain",2006,50,18
"Spain",2007,0,43
"Spain",2008,45,55
"Spain",2009,0,23
"Spain",2010,27,68
"Spain",2011,5,50
"Spain",2012,40,97
"Spain",2013,5,8
"Spain",2014,54,74
"Spain",2015,203,15
"Spain",2016,0,10
"Spain",2017,4,5
"Spain",2018,1,18
"Sweden",2004,41,170
"Sweden",2005,32,30
"Sweden",2006,68,170
"Sweden",2007,81,51
"Sweden",2008,123,47
"Sweden",2009,112,33
"Sweden",2011,358,185
"Sweden",2012,353,372
"Sweden",2013,40,62
"Sweden",2014,239,218
"Sweden",2015,349,365
"Sweden",2016,14,139
"Sweden",2017,181,126
"Sweden",2018,197,21
"Switzerland",2005,196,128
"Switzerland",2006,10,30
"Switzerland",2011,27,19
"Switzerland",2014,47,64
"Turkey",2004,42,195
"Turkey",2005,9,92
"Turkey",2006,43,91
"Turkey",2007,120,163
"Turkey",2008,80,138
"Turkey",2009,268,177
"Turkey",2010,37,170
"Turkey",2012,130,112
"Ukraine",2004,134,280
"Ukraine",2005,15,30
"Ukraine",2006,144,145
"Ukraine",2007,184,235
"Ukraine",2008,290,230
"Ukraine",2009,205,76
"Ukraine",2010,84,108
"Ukraine",2011,66,159
"Ukraine",2012,79,65
"Ukraine",2013,175,214
"Ukraine",2014,187,113
"Ukraine",2016,273,323
"Ukraine",2017,15,24
"Ukraine",2018,215,119
"United Kingdom",2004,0,29
"United Kingdom",2005,131,18
"United Kingdom",2006,32,25
"United Kingdom",2007,54,19
"United Kingdom",2008,2,14
"United Kingdom",2009,50,173
"United Kingdom",2010,8,10
"United Kingdom",2011,267,100
"United Kingdom",2012,163,12
"United Kingdom",2013,342,23
"United Kingdom",2014,23,40
"United Kingdom",2015,0,5
"United Kingdom",2016,0,8
"United Kingdom",2017,37,12
"United Kingdom",2018,5,25
